"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"PRKCA","PRKCA","ENSG00000154229.11","protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]","PRKCA",-0.25518269100446,0.000833068809599275,0.0236855247160887
"MIS18BP1","MIS18BP1","ENSG00000129534.13","MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]","MIS18BP1",-0.25601977701964,0.00382171460179004,0.0410362270133784
"SIRT5","SIRT5","ENSG00000124523.15","sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]","SIRT5",-0.25634636937268,0.000451608028952738,0.0167582622574763
"ARSE","ARSE","ENSG00000157399.14","arylsulfatase E (chondrodysplasia punctata 1) [Source:HGNC Symbol;Acc:HGNC:719]","ARSE",-0.256866456612693,0.000993779803938114,0.0253381792591189
"USP6NL","USP6NL","ENSG00000148429.14","USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]","USP6NL",-0.257079806542371,0.000399498621335725,0.0163844618691239
"AUH","AUH","ENSG00000148090.11","AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]","AUH",-0.259640160410995,0.00415862235303031,0.0422238818768579
"VMA21","VMA21","ENSG00000160131.13","VMA21, vacuolar ATPase assembly factor [Source:HGNC Symbol;Acc:HGNC:22082]","VMA21",-0.259767713750578,0.000707935542014267,0.022204454460638
"USP13","USP13","ENSG00000058056.8","ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]","USP13",-0.260328091380211,0.00153686841352465,0.0293415650736686
"CLIP4","CLIP4","ENSG00000115295.19","CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]","CLIP4",-0.260363865544219,0.00124464138901766,0.0275311575549633
"PGK1","PGK1","ENSG00000102144.13","phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]","PGK1",-0.261262666843719,0.00106100316903253,0.0259553463466148
"PTBP2","PTBP2","ENSG00000117569.18","polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]","PTBP2",-0.26224635525657,0.0027360716243464,0.0356863203281088
"ATP6V0A1","ATP6V0A1","ENSG00000033627.16","ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]","ATP6V0A1",-0.263846901775667,0.00572264644884631,0.048599204635703
"LPGAT1","LPGAT1","ENSG00000123684.12","lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]","LPGAT1",-0.263862224406342,0.00504083519538695,0.0459163226845252
"HELLS","HELLS","ENSG00000119969.14","helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]","HELLS",-0.263908392749334,0.000725963246856527,0.0225906043431259
"CLUAP1","CLUAP1","ENSG00000103351.12","clusterin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19009]","CLUAP1",-0.264419188827349,0.00406160703429298,0.0418552046923752
"GPI","GPI","ENSG00000105220.14","glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]","GPI",-0.266363652542176,0.0012469830977577,0.0275311575549633
"OAT","OAT","ENSG00000065154.11","ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]","OAT",-0.267115955072258,0.00459824572873919,0.0442388503178604
"PMM1","PMM1","ENSG00000100417.11","phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]","PMM1",-0.26872639122676,0.00391520038021618,0.0413984232029796
"PFKFB2","PFKFB2","ENSG00000123836.14","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]","PFKFB2",-0.269090726504299,0.00290048326156829,0.0362387043453903
"PIN4","PIN4","ENSG00000102309.12","peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]","PIN4",-0.269243436043456,0.00544516425234076,0.0477146100338153
"WEE1","WEE1","ENSG00000166483.10","WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]","WEE1",-0.269860214756636,0.00138122297918896,0.0280491634114709
"VPS25","VPS25","ENSG00000131475.6","vacuolar protein sorting 25 homolog [Source:HGNC Symbol;Acc:HGNC:28122]","VPS25",-0.270871898415444,0.0021359773699601,0.032535160059692
"GLTP","GLTP","ENSG00000139433.9","glycolipid transfer protein [Source:HGNC Symbol;Acc:HGNC:24867]","GLTP",-0.271084129887088,0.00026596462213229,0.0145035139847622
"CPNE7","CPNE7","ENSG00000178773.14","copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]","CPNE7",-0.272448803699843,0.00184681150205216,0.0305380713644775
"S100A16","S100A16","ENSG00000188643.10","S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]","S100A16",-0.274277790486544,0.00288776716178007,0.0361726016588108
"WDSUB1","WDSUB1","ENSG00000196151.10","WD repeat, sterile alpha motif and U-box domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26697]","WDSUB1",-0.27467094574449,0.00255604119641489,0.0348323260320228
"SBNO1","SBNO1","ENSG00000139697.13","strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]","SBNO1",-0.275513708010325,0.000792984689134486,0.0232138925293295
"MAOB","MAOB","ENSG00000069535.13","monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]","MAOB",-0.275681868829806,0.00386982177760761,0.0412780989611478
"BAIAP2L2","BAIAP2L2","ENSG00000128298.16","BAI1 associated protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26203]","BAIAP2L2",-0.276001732631705,0.00409950645300001,0.0419721489695752
"TAX1BP1","TAX1BP1","ENSG00000106052.13","Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]","TAX1BP1",-0.276186109092629,4.48105656239709e-06,0.0025298765049419
"CA2","CA2","ENSG00000104267.9","carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]","CA2",-0.278201085923789,0.000341696836616895,0.0161332985686089
"EPB41L5","EPB41L5","ENSG00000115109.13","erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]","EPB41L5",-0.280789886051918,0.00147274149818444,0.0287420958065428
"IQGAP3","IQGAP3","ENSG00000183856.10","IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]","IQGAP3",-0.28093008665483,0.000172212327620256,0.0124827195914276
"PHYH","PHYH","ENSG00000107537.13","phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]","PHYH",-0.282849879687749,0.00237684294974221,0.0340954023135434
"ACOX1","ACOX1","ENSG00000161533.11","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]","ACOX1",-0.283343117589129,0.000210895990515557,0.0128224762233458
"PRKAR1A","PRKAR1A","ENSG00000108946.14","protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]","PRKAR1A",-0.283493853965178,0.000913883428836224,0.0242469704947913
"SPP1","SPP1","ENSG00000118785.13","secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]","SPP1",-0.283936394615391,0.000349182399504306,0.0161332985686089
"CYLD","CYLD","ENSG00000083799.17","CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]","CYLD",-0.28412963600287,0.00117696523261111,0.0270015735647166
"ACADSB","ACADSB","ENSG00000196177.12","acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]","ACADSB",-0.284487140662061,0.000380859208391654,0.0163633545158355
"CSDE1","CSDE1","ENSG00000009307.15","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]","CSDE1",-0.285488266228172,5.71875863403559e-05,0.00824629764775351
"GMFB","GMFB","ENSG00000197045.12","glia maturation factor beta [Source:HGNC Symbol;Acc:HGNC:4373]","GMFB",-0.285779318484941,0.00407107383987156,0.0418981349353448
"SSNA1","SSNA1","ENSG00000176101.11","SS nuclear autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:11321]","SSNA1",-0.288090663173146,0.00535523376246684,0.04737618112146
"SOAT1","SOAT1","ENSG00000057252.12","sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]","SOAT1",-0.288973320479242,0.00210343060562034,0.0323214281419107
"KIF5C","KIF5C","ENSG00000168280.16","kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]","KIF5C",-0.289734627931544,0.00144571306946493,0.0286003150225219
"PTAR1","PTAR1","ENSG00000188647.12","protein prenyltransferase alpha subunit repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30449]","PTAR1",-0.289830079596707,0.000637887318314162,0.0208341378675832
"EHBP1L1","EHBP1L1","ENSG00000173442.12","EH domain binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:30682]","EHBP1L1",-0.29090405848037,0.00429376306505447,0.0428295215240675
"CTTN","CTTN","ENSG00000085733.15","cortactin [Source:HGNC Symbol;Acc:HGNC:3338]","CTTN",-0.291516626416327,4.62314970309849e-05,0.00777476069218946
"GALNT1","GALNT1","ENSG00000141429.13","polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]","GALNT1",-0.295834285699987,0.000104410298604375,0.0106078535778119
"RAB27B","RAB27B","ENSG00000041353.9","RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]","RAB27B",-0.296079027453244,0.00463239098460959,0.0442737827597996
"DLG3","DLG3","ENSG00000082458.11","discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]","DLG3",-0.296388284559841,0.00161670404437403,0.0298384540651504
"RNF13","RNF13","ENSG00000082996.19","ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]","RNF13",-0.296653600270491,0.00108166420689691,0.0262253800347029
"TC2N","TC2N","ENSG00000276776.4","tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]","TC2N",-0.297131145702487,0.000183645067414053,0.0124827195914276
"PARP4","PARP4","ENSG00000102699.5","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]","PARP4",-0.297868287476407,0.00260877436644057,0.0349146825053385
"MPP7","MPP7","ENSG00000150054.18","membrane palmitoylated protein 7 [Source:HGNC Symbol;Acc:HGNC:26542]","MPP7",-0.298583236391039,0.000694211449388515,0.0219481891838673
"PAPSS2","PAPSS2","ENSG00000198682.12","3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]","PAPSS2",-0.299052364439576,0.0024572961824439,0.0346211569091561
"PDCL","PDCL","ENSG00000136940.13","phosducin like [Source:HGNC Symbol;Acc:HGNC:8770]","PDCL",-0.299080458398022,0.00117950030300289,0.0270015735647166
"MIEN1","MIEN1","ENSG00000141741.11","migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]","MIEN1",-0.300831602215997,0.00490498798704677,0.0456168291894101
"GMDS","GMDS","ENSG00000112699.10","GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]","GMDS",-0.301852417317232,0.00137192228636267,0.0279886836682401
"CYP20A1","CYP20A1","ENSG00000119004.15","cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576]","CYP20A1",-0.302642372217153,0.00129811272188754,0.0276268241842198
"VAT1","VAT1","ENSG00000108828.15","vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]","VAT1",-0.303479814563038,0.00472539617323815,0.0448912636457624
"FAM3C","FAM3C","ENSG00000196937.10","family with sequence similarity 3 member C [Source:HGNC Symbol;Acc:HGNC:18664]","FAM3C",-0.303987021318018,0.00305175860793746,0.0370126567053209
"ACACA","ACACA","ENSG00000278540.4","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]","ACACA",-0.304373683523125,0.00118800693093987,0.027002376885811
"RALGAPA2","RALGAPA2","ENSG00000188559.13","Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]","RALGAPA2",-0.305339176208078,0.00092775011773208,0.0244431231018479
"NDRG1","NDRG1","ENSG00000104419.14","N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]","NDRG1",-0.305887038772071,0.00249366757081053,0.034762787738602
"AKR1C3","AKR1C3","ENSG00000196139.13","aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]","AKR1C3",-0.306547208861284,0.0018911411985602,0.0308197526462264
"IFT140","IFT140","ENSG00000187535.13","intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]","IFT140",-0.307379224365863,0.0017369988517477,0.03006751801439
"PLCD1","PLCD1","ENSG00000187091.13","phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]","PLCD1",-0.308011093201573,0.00272707826484889,0.0356627212508217
"TBC1D8B","TBC1D8B","ENSG00000133138.19","TBC1 domain family member 8B [Source:HGNC Symbol;Acc:HGNC:24715]","TBC1D8B",-0.309178922047325,0.00403997016862083,0.0418010523955311
"FAM213A","FAM213A","ENSG00000122378.13","family with sequence similarity 213 member A [Source:HGNC Symbol;Acc:HGNC:28651]","FAM213A",-0.314304336203012,0.00450308608470273,0.0438870436664493
"GSDME","GSDME","ENSG00000105928.13","gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]","GSDME",-0.314405925735106,0.00402983113339739,0.0418010523955311
"ANK3","ANK3","ENSG00000151150.21","ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]","ANK3",-0.316019672269881,5.97645725536726e-05,0.00830444606874841
"MVP","MVP","ENSG00000013364.18","major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]","MVP",-0.31684255386745,0.00513437203956399,0.0466460650582917
"BMT2","BMT2","ENSG00000164603.11","base methyltransferase of 25S rRNA 2 homolog [Source:HGNC Symbol;Acc:HGNC:26475]","BMT2",-0.318324903006508,0.00524530596398689,0.0470022231300702
"PLD1","PLD1","ENSG00000075651.15","phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]","PLD1",-0.319121955746643,0.00290858037351939,0.0362609136787024
"KBTBD11","KBTBD11","ENSG00000273645.2","kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]","KBTBD11",-0.322029664394228,0.00304106644707826,0.0370126567053209
"TPD52L1","TPD52L1","ENSG00000111907.20","tumor protein D52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]","TPD52L1",-0.324718405559533,0.00288293326665354,0.0361726016588108
"DCAF6","DCAF6","ENSG00000143164.15","DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]","DCAF6",-0.324730673623097,0.00366472841517676,0.0402305741577182
"FBXO3","FBXO3","ENSG00000110429.13","F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]","FBXO3",-0.325982339181167,0.00233813335847901,0.0338301789431509
"ARFGEF3","ARFGEF3","ENSG00000112379.8","ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213]","ARFGEF3",-0.327893213546383,0.00165995359267073,0.0299630841104687
"TCEANC2","TCEANC2","ENSG00000116205.12","transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]","TCEANC2",-0.328755095823347,0.00105329039002801,0.0259523172943754
"RMDN2","RMDN2","ENSG00000115841.19","regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:HGNC:26567]","RMDN2",-0.33055834150177,0.00185931174203495,0.0306315664657997
"SPTLC3","SPTLC3","ENSG00000172296.12","serine palmitoyltransferase long chain base subunit 3 [Source:HGNC Symbol;Acc:HGNC:16253]","SPTLC3",-0.331648487696548,0.00207191123324979,0.0319851296632936
"MYO5A","MYO5A","ENSG00000197535.14","myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]","MYO5A",-0.331796669287392,9.08360548953093e-05,0.0100960655879446
"ARL10","ARL10","ENSG00000175414.6","ADP ribosylation factor like GTPase 10 [Source:HGNC Symbol;Acc:HGNC:22042]","ARL10",-0.331852486953869,0.00332511430523495,0.038423543082715
"CMBL","CMBL","ENSG00000164237.8","carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]","CMBL",-0.334680224296986,0.00277496776028807,0.0358387993093413
"VIL1","VIL1","ENSG00000127831.10","villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]","VIL1",-0.335336632009442,0.00527595918164274,0.0470667961305917
"FAM126A","FAM126A","ENSG00000122591.11","family with sequence similarity 126 member A [Source:HGNC Symbol;Acc:HGNC:24587]","FAM126A",-0.335396696917767,0.00464682522764244,0.0443045917964847
"CIRBP","CIRBP","ENSG00000099622.13","cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]","CIRBP",-0.336132818160941,0.00253108270431327,0.0348323260320228
"TFCP2L1","TFCP2L1","ENSG00000115112.7","transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]","TFCP2L1",-0.336572678880593,0.00596336100983401,0.0497111137790062
"SLC4A4","SLC4A4","ENSG00000080493.15","solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]","SLC4A4",-0.337289379816197,0.00486704999524424,0.0454718240690431
"PARVA","PARVA","ENSG00000197702.11","parvin alpha [Source:HGNC Symbol;Acc:HGNC:14652]","PARVA",-0.338161488654127,0.00537615348696328,0.0474783431966009
"NAPEPLD","NAPEPLD","ENSG00000161048.11","N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:HGNC:21683]","NAPEPLD",-0.342848823037592,0.00480526467199564,0.0451654648046123
"PROSER1","PROSER1","ENSG00000120685.19","proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]","PROSER1",-0.344076336508748,0.00555169841284337,0.0481306701618952
"MSI2","MSI2","ENSG00000153944.10","musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","MSI2",-0.344561360911933,0.00552207883494067,0.0480793189474139
"NUDT12","NUDT12","ENSG00000112874.9","nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]","NUDT12",-0.345264851265411,4.18978823769765e-05,0.00750077060135864
"FBXO4","FBXO4","ENSG00000151876.12","F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]","FBXO4",-0.34552264540623,0.00176825766960883,0.0301325007664198
"CSTB","CSTB","ENSG00000160213.6","cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]","CSTB",-0.346594787481124,0.00488913213723298,0.0455713901184995
"TFRC","TFRC","ENSG00000072274.12","transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]","TFRC",-0.347601696552945,0.00142219635249715,0.0283864645710542
"CPNE8","CPNE8","ENSG00000139117.13","copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]","CPNE8",-0.349120305100941,4.23815917859707e-05,0.00750077060135864
"NAGA","NAGA","ENSG00000198951.11","alpha-N-acetylgalactosaminidase [Source:HGNC Symbol;Acc:HGNC:7631]","NAGA",-0.349253945864696,0.00222323251303666,0.032878935009104
"TKFC","TKFC","ENSG00000149476.15","triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]","TKFC",-0.351947471266502,0.00223411761355592,0.032878935009104
"PALMD","PALMD","ENSG00000099260.10","palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]","PALMD",-0.352268264425345,0.00298103689139424,0.0367256006483938
"ALDH1A1","ALDH1A1","ENSG00000165092.12","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]","ALDH1A1",-0.352599411123497,2.29663503426532e-05,0.00567268853463535
"ZFYVE21","ZFYVE21","ENSG00000100711.13","zinc finger FYVE-type containing 21 [Source:HGNC Symbol;Acc:HGNC:20760]","ZFYVE21",-0.352896157289936,0.00101177616822903,0.0254960874281936
"CALCOCO2","CALCOCO2","ENSG00000136436.14","calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]","CALCOCO2",-0.353873948197337,0.000466235050930777,0.0171003962427879
"HMGCS1","HMGCS1","ENSG00000112972.14","3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]","HMGCS1",-0.356038050756969,0.00019961181639387,0.0126931342340496
"SDK1","SDK1","ENSG00000146555.18","sidekick cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:19307]","SDK1",-0.356255895311286,0.000287171683546827,0.0148353267108113
"PGK2","PGK2","ENSG00000170950.5","phosphoglycerate kinase 2 [Source:HGNC Symbol;Acc:HGNC:8898]","PGK2",-0.35805671536308,0.00243014786205842,0.0343746106849188
"MLEC","MLEC","ENSG00000110917.7","malectin [Source:HGNC Symbol;Acc:HGNC:28973]","MLEC",-0.35920662866871,9.73428261297241e-05,0.0102586359697245
"RAB4A","RAB4A","ENSG00000168118.11","RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]","RAB4A",-0.360124084649381,0.00405303687279236,0.0418214144158626
"LRP1","LRP1","ENSG00000123384.13","LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]","LRP1",-0.362634768253929,0.00555921577273607,0.0481306701618952
"HAT1","HAT1","ENSG00000128708.12","histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]","HAT1",-0.363211619839328,0.00218587119047181,0.032762530384123
"BLNK","BLNK","ENSG00000095585.16","B-cell linker [Source:HGNC Symbol;Acc:HGNC:14211]","BLNK",-0.363405413270333,0.00189993681653548,0.0308955685142815
"UGGT1","UGGT1","ENSG00000136731.12","UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]","UGGT1",-0.365011511129225,0.000160414748837995,0.0124827195914276
"ITPA","ITPA","ENSG00000125877.12","inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176]","ITPA",-0.365020443682366,0.000422915064621809,0.0167136033538539
"DBI","DBI","ENSG00000155368.16","diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]","DBI",-0.366549372905253,0.00261813744211793,0.0349146825053385
"TCF25","TCF25","ENSG00000141002.19","transcription factor 25 [Source:HGNC Symbol;Acc:HGNC:29181]","TCF25",-0.368005964133023,0.0055596282714841,0.0481306701618952
"ITFG1","ITFG1","ENSG00000129636.12","integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]","ITFG1",-0.36951433601374,0.00339138245676918,0.0387734315637176
"AKAP7","AKAP7","ENSG00000118507.15","A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]","AKAP7",-0.371200867465811,0.0010257841691625,0.0256575888387989
"PSMB6","PSMB6","ENSG00000142507.9","proteasome subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]","PSMB6",-0.37150145769524,0.000194205987026297,0.0126931342340496
"ALDOC","ALDOC","ENSG00000109107.13","aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]","ALDOC",-0.371766281803706,0.000758677626184898,0.0230139408293814
"FAM172A","FAM172A","ENSG00000113391.18","family with sequence similarity 172 member A [Source:HGNC Symbol;Acc:HGNC:25365]","FAM172A",-0.376387186050558,0.000156880357483312,0.0124827195914276
"LSS","LSS","ENSG00000160285.14","lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]","LSS",-0.378321574870777,0.00219245619968227,0.032762530384123
"PLAU","PLAU","ENSG00000122861.15","plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]","PLAU",-0.380545966482008,0.000510972068549333,0.0183578328627906
"GPATCH11","GPATCH11","ENSG00000152133.14","G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768]","GPATCH11",-0.382925422829326,0.000869818679151234,0.0242079114084907
"SYTL2","SYTL2","ENSG00000137501.17","synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]","SYTL2",-0.385452199580365,0.00256042275108872,0.0348323260320228
"SH3BGRL","SH3BGRL","ENSG00000131171.12","SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]","SH3BGRL",-0.385511418292463,9.72586430234131e-05,0.0102586359697245
"LYZ","LYZ","ENSG00000090382.6","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]","LYZ",-0.385597286705413,0.000571271557117835,0.0193791003753621
"PAIP2B","PAIP2B","ENSG00000124374.8","poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]","PAIP2B",-0.38661880128811,0.00115836618833052,0.0270015735647166
"KIF20A","KIF20A","ENSG00000112984.11","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]","KIF20A",-0.386637150532171,0.000108466458749298,0.0108521378475247
"WBP2","WBP2","ENSG00000132471.11","WW domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12738]","WBP2",-0.387051100510052,0.0015446138137405,0.0293804332886229
"UBE2C","UBE2C","ENSG00000175063.16","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","UBE2C",-0.388424922047439,0.00241285713341055,0.0343354153398239
"ETNK1","ETNK1","ENSG00000139163.15","ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]","ETNK1",-0.392107290332471,0.00322118217763203,0.0378872379940529
"STAU2","STAU2","ENSG00000040341.17","staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]","STAU2",-0.394719437901655,0.00565692504785896,0.048337660084624
"LHPP","LHPP","ENSG00000107902.13","phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:HGNC Symbol;Acc:HGNC:30042]","LHPP",-0.396953781585585,0.000348523674439707,0.0161332985686089
"MAOA","MAOA","ENSG00000189221.9","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]","MAOA",-0.39794523369489,6.9231775418945e-07,0.00184961373232939
"MROH1","MROH1","ENSG00000179832.17","maestro heat like repeat family member 1 [Source:HGNC Symbol;Acc:HGNC:26958]","MROH1",-0.398573360608965,0.00247046647447879,0.0346830675209243
"GLT8D1","GLT8D1","ENSG00000016864.18","glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]","GLT8D1",-0.399574219998233,0.00260594497097516,0.0349146825053385
"SCD","SCD","ENSG00000099194.5","stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]","SCD",-0.399907486038579,0.00254284742567058,0.0348323260320228
"SCIN","SCIN","ENSG00000006747.14","scinderin [Source:HGNC Symbol;Acc:HGNC:21695]","SCIN",-0.400447029208425,0.000822975596233359,0.02366299077663
"FBP1","FBP1","ENSG00000165140.9","fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]","FBP1",-0.403843977081092,2.50511430997628e-05,0.00582365397236838
"LPP","LPP","ENSG00000145012.13","LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]","LPP",-0.407012448960174,0.00027981464784033,0.0147688759022432
"GGH","GGH","ENSG00000137563.11","gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]","GGH",-0.407090374905361,0.000374602043308392,0.0163633545158355
"ASAH1","ASAH1","ENSG00000104763.18","N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]","ASAH1",-0.412983195639639,0.000168766019790448,0.0124827195914276
